orig_trace_id,trace_len,analysis_time,verdict
1f,1,0.062088727951049805,Fail
1f,10,0.09250891208648682,Fail
1f,11,0.10422241687774658,Fail
1f,12,0.10073065757751465,Fail
1f,13,0.0880197286605835,Fail
1f,14,0.11020553112030029,Fail
1f,15,0.09873735904693604,Fail
1f,16,0.1421186923980713,Fail
1f,17,0.09849345684051514,Fail
1f,18,0.10047459602355957,Fail
1f,19,0.10597491264343262,Fail
1f,2,0.0994873046875,Fail
1f,20,0.09774136543273926,Fail
1f,21,0.0921468734741211,Fail
1f,22,0.09225428104400635,Fail
1f,23,0.0967400074005127,Fail
1f,24,0.09823799133300781,Fail
1f,25,0.09938669204711914,Fail
1f,26,0.13164687156677246,Fail
1f,27,0.16414618492126465,Fail
1f,28,0.15551352500915527,Fail
1f,29,0.1710442304611206,Fail
1f,3,0.07480061054229736,Fail
1f,30,0.18300938606262207,Fail
1f,31,0.2686152458190918,Fail
1f,32,0.28542089462280273,Fail
1f,33,0.32192957401275635,Fail
1f,34,0.5605224370956421,Fail
1f,35,0.5263538360595703,Fail
1f,36,0.526628851890564,Fail
1f,37,0.5830334424972534,Fail
1f,38,0.7069262266159058,Fail
1f,39,0.872496485710144,Fail
1f,4,0.07230663299560547,Fail
1f,40,0.9852346181869507,Fail
1f,41,1.2019811868667603,Fail
1f,42,1.581136703491211,Fail
1f,43,1.7734084129333496,Fail
1f,44,2.237695097923279,Fail
1f,45,2.204026460647583,Fail
1f,46,2.880364179611206,Fail
1f,47,2.4886120557785034,Fail
1f,48,2.67693030834198,Fail
1f,49,2.5284985303878784,Fail
1f,5,0.047373414039611816,Fail
1f,50,2.8594374656677246,Fail
1f,51,3.2691937685012817,Fail
1f,52,3.901092290878296,Fail
1f,53,3.771608352661133,Fail
1f,54,4.646211624145508,Fail
1f,55,4.651607155799866,Fail
1f,56,4.181153297424316,Fail
1f,6,0.05015063285827637,Fail
1f,7,0.07555246353149414,Fail
1f,8,0.08078444004058838,Fail
1f,9,0.07679462432861328,Fail
1,1,0.07430803775787354,WeakPass
1,10,0.08526790142059326,WeakPass
1,11,0.08227729797363281,WeakPass
1,12,0.09026432037353516,WeakPass
1,13,0.10272574424743652,WeakPass
1,14,0.0982367992401123,WeakPass
1,15,0.09773874282836914,WeakPass
1,16,0.07729339599609375,WeakPass
1,17,0.08277857303619385,WeakPass
1,18,0.09973359107971191,WeakPass
1,19,0.10074865818023682,WeakPass
1,2,0.0887608528137207,WeakPass
1,20,0.07828998565673828,WeakPass
1,21,0.09849274158477783,WeakPass
1,22,0.13290143013000488,WeakPass
1,23,0.09225285053253174,WeakPass
1,24,0.10272538661956787,WeakPass
1,25,0.09424817562103271,WeakPass
1,26,0.09624290466308594,WeakPass
1,27,0.0937490463256836,WeakPass
1,28,0.09674394130706787,WeakPass
1,29,0.09279012680053711,WeakPass
1,3,0.1022266149520874,WeakPass
1,30,0.09973764419555664,WeakPass
1,31,0.1316436529159546,WeakPass
1,32,0.0882636308670044,WeakPass
1,33,0.08181703090667725,WeakPass
1,34,0.08527100086212158,WeakPass
1,35,0.09949100017547607,WeakPass
1,36,0.08677864074707031,WeakPass
1,37,0.08552587032318115,WeakPass
1,38,0.0842750072479248,WeakPass
1,39,0.07779169082641602,WeakPass
1,4,0.10272502899169922,WeakPass
1,40,0.10372257232666016,WeakPass
1,41,0.10697054862976074,WeakPass
1,42,0.10471987724304199,WeakPass
1,43,0.10497748851776123,WeakPass
1,44,0.08766782283782959,WeakPass
1,45,0.08054149150848389,WeakPass
1,46,0.09823644161224365,WeakPass
1,47,0.09624433517456055,WeakPass
1,48,0.09923315048217773,WeakPass
1,49,0.0952458381652832,WeakPass
1,5,0.09525489807128906,WeakPass
1,50,0.10122942924499512,WeakPass
1,51,0.08777177333831787,WeakPass
1,52,0.08578181266784668,WeakPass
1,53,0.09200894832611084,WeakPass
1,54,0.09175479412078857,WeakPass
1,55,0.12167596817016602,WeakPass
1,56,0.10222530364990234,Pass
1,6,0.10422170162200928,WeakPass
1,7,0.10222923755645752,WeakPass
1,8,0.10322511196136475,WeakPass
1,9,0.10124611854553223,WeakPass
